date;system_time;cycle_time;battery_state;voltage[V];current[mA];capacity[mAh]
2025-10-25;02:07:02;0:00:35.485195;charging;4.197;0.17;35
2025-10-25;02:07:02;0:00:35.590038;charging;4.197;0.17;35
2025-10-25;02:07:02;0:00:35.693745;charging;4.202;0.17;35
2025-10-25;02:07:02;0:00:35.801461;charging;4.203;0.17;35
2025-10-25;02:07:02;0:00:35.906174;charging;4.205;0.17;35
2025-10-25;02:07:02;0:00:36.010711;charging;4.197;0.17;35
2025-10-25;02:07:03;0:00:36.115558;charging;4.197;0.17;35
2025-10-25;02:07:03;0:00:36.219216;charging;4.203;0.17;35
2025-10-25;02:07:03;0:00:36.338001;charging;4.197;0.17;35
2025-10-25;02:07:03;0:00:36.446319;charging;4.202;0.17;36
2025-10-25;02:07:03;0:00:36.551102;charging;4.202;0.17;36
2025-10-25;02:07:03;0:00:36.654886;charging;4.205;0.17;36
2025-10-25;02:07:03;0:00:36.766172;charging;4.196;0.17;36
2025-10-25;02:07:03;0:00:36.907964;charging;4.197;0.17;36
2025-10-25;02:07:03;0:00:37.026731;charging;4.197;0.17;36
2025-10-25;02:07:04;0:00:37.141071;charging;4.197;0.17;36
2025-10-25;02:07:04;0:00:37.259987;charging;4.199;0.17;36
2025-10-25;02:07:04;0:00:37.378364;charging;4.197;0.17;36
2025-10-25;02:07:04;0:00:37.482532;charging;4.203;0.17;36
2025-10-25;02:07:04;0:00:37.589461;charging;4.197;0.17;37
2025-10-25;02:07:04;0:00:37.697454;charging;4.201;0.17;37
2025-10-25;02:07:04;0:00:37.826019;charging;4.196;0.17;37
2025-10-25;02:07:04;0:00:37.948596;charging;4.196;0.17;37
2025-10-25;02:07:04;0:00:38.054587;charging;4.197;0.17;37
2025-10-25;02:07:05;0:00:38.179916;charging;4.197;0.17;37
2025-10-25;02:07:05;0:00:38.291804;charging;4.196;0.17;37
2025-10-25;02:07:05;0:00:38.398596;charging;4.201;0.17;37
2025-10-25;02:07:05;0:00:38.522640;charging;4.197;0.17;37
2025-10-25;02:07:05;0:00:38.682125;charging;4.199;0.17;37
2025-10-25;02:07:05;0:00:38.804735;charging;4.197;0.17;38
2025-10-25;02:07:05;0:00:38.942036;charging;4.196;0.17;38
2025-10-25;02:07:05;0:00:39.062768;charging;4.197;0.17;38
2025-10-25;02:07:06;0:00:39.176594;charging;4.204;0.17;38
2025-10-25;02:07:06;0:00:39.287514;charging;4.196;0.17;38
2025-10-25;02:07:06;0:00:39.406728;charging;4.199;0.17;38
2025-10-25;02:07:06;0:00:39.512950;charging;4.2;0.17;38
2025-10-25;02:07:06;0:00:39.617813;charging;4.196;0.17;38
2025-10-25;02:07:06;0:00:39.726146;charging;4.196;0.17;38
2025-10-25;02:07:06;0:00:39.836225;charging;4.196;0.17;38
2025-10-25;02:07:06;0:00:39.948424;charging;4.197;0.17;39
2025-10-25;02:07:06;0:00:40.063483;charging;4.196;0.17;39
2025-10-25;02:07:07;0:00:40.223063;charging;4.203;0.17;39
2025-10-25;02:07:07;0:00:40.331861;charging;4.196;0.17;39
2025-10-25;02:07:07;0:00:40.484397;charging;4.197;0.17;39
2025-10-25;02:07:07;0:00:40.631055;charging;4.202;0.17;39
2025-10-25;02:07:07;0:00:40.769480;charging;4.197;0.17;39
2025-10-25;02:07:07;0:00:40.881388;charging;4.198;0.17;39
2025-10-25;02:07:07;0:00:40.999771;charging;4.196;0.17;39
2025-10-25;02:07:08;0:00:41.113449;charging;4.196;0.17;39
2025-10-25;02:07:08;0:00:41.219929;charging;4.196;0.17;39
2025-10-25;02:07:08;0:00:41.469642;charging;4.197;0.17;40
2025-10-25;02:07:08;0:00:41.610308;charging;4.2;0.17;40
2025-10-25;02:07:08;0:00:41.715778;charging;4.196;0.17;40
2025-10-25;02:07:08;0:00:41.887993;charging;4.196;0.17;40
2025-10-25;02:07:08;0:00:42.038161;charging;4.196;0.17;40
2025-10-25;02:07:09;0:00:42.455313;charging;4.2;0.17;40
