iCharger106B;Outlet
Time [hh:mm:ss.SSS];Voltage [V];Current [A];Capacity [mAh]
00:16:34.000;4.20;0.38;120
00:16:36.000;4.20;0.38;120
00:16:38.000;4.20;0.38;120
00:16:40.000;4.20;0.38;121
00:16:42.000;4.20;0.38;121
00:16:44.000;4.20;0.38;121
00:16:46.000;4.20;0.37;121
00:16:48.000;4.20;0.38;121
00:16:50.000;4.20;0.37;122
00:16:52.000;4.20;0.37;122
00:16:54.000;4.20;0.37;122
00:16:56.000;4.20;0.37;122
00:16:58.000;4.20;0.37;122
00:17:00.000;4.20;0.37;123
00:17:02.000;4.20;0.37;123
00:17:04.000;4.20;0.37;123
00:17:06.000;4.20;0.37;123
00:17:08.000;4.20;0.37;124
00:17:10.000;4.20;0.37;124
00:17:12.000;4.20;0.37;124
00:17:14.000;4.20;0.37;124
00:17:16.000;4.20;0.37;124
00:17:18.000;4.20;0.37;125
00:17:20.000;4.20;0.37;125
00:17:22.000;4.20;0.37;125
00:17:24.000;4.20;0.37;125
00:17:26.000;4.20;0.37;125
00:17:28.000;4.20;0.37;126
00:17:30.000;4.20;0.37;126
00:17:32.000;4.20;0.37;126
00:17:34.000;4.20;0.37;126
00:17:36.000;4.20;0.37;126
00:17:38.000;4.20;0.37;127
00:17:40.000;4.20;0.37;127
00:17:42.000;4.20;0.37;127
00:17:44.000;4.20;0.37;127
00:17:46.000;4.20;0.37;127
00:17:48.000;4.20;0.37;128
00:17:50.000;4.20;0.37;128
00:17:52.000;4.20;0.37;128
00:17:54.000;4.20;0.37;128
00:17:56.000;4.20;0.37;129
00:17:58.000;4.20;0.37;129
00:18:00.000;4.20;0.37;129
00:18:02.000;4.20;0.37;129
00:18:04.000;4.20;0.37;129
00:18:06.000;4.20;0.37;130
00:18:08.000;4.20;0.37;130
00:18:10.000;4.20;0.37;130
00:18:12.000;4.20;0.37;130
00:18:14.000;4.20;0.37;130
00:18:16.000;4.20;0.37;131
00:18:18.000;4.20;0.37;131
00:18:20.000;4.20;0.37;131
00:18:22.000;4.20;0.37;131
00:18:24.000;4.20;0.37;131
00:18:26.000;4.20;0.37;132
00:18:28.000;4.20;0.37;132
00:18:30.000;4.20;0.37;132
00:18:32.000;4.20;0.37;132
00:18:34.000;4.20;0.37;132
00:18:36.000;4.20;0.37;133
00:18:38.000;4.20;0.37;133
00:18:40.000;4.20;0.37;133
00:18:42.000;4.20;0.37;133
00:18:44.000;4.20;0.37;134
00:18:46.000;4.20;0.37;134
00:18:48.000;4.20;0.37;134
00:18:50.000;4.20;0.37;134
00:18:52.000;4.20;0.37;134
00:18:54.000;4.20;0.37;135
00:18:56.000;4.20;0.37;135
00:18:58.000;4.20;0.37;135
00:19:00.000;4.20;0.37;135
00:19:02.000;4.20;0.36;135
00:19:04.000;4.20;0.37;136
00:19:06.000;4.20;0.36;136
00:19:08.000;4.20;0.36;136
00:19:10.000;4.20;0.37;136
00:19:12.000;4.20;0.36;136
00:19:14.000;4.20;0.36;137
00:19:16.000;4.20;0.36;137
00:19:18.000;4.20;0.36;137
00:19:20.000;4.20;0.36;137
00:19:22.000;4.20;0.36;137
00:19:24.000;4.20;0.36;138
00:19:26.000;4.20;0.36;138
00:19:28.000;4.20;0.36;138
00:19:30.000;4.20;0.36;138
00:19:32.000;4.20;0.36;138
00:19:34.000;4.20;0.36;139
00:19:36.000;4.20;0.36;139
00:19:38.000;4.20;0.36;139
00:19:40.000;4.20;0.36;139
00:19:42.000;4.20;0.36;140
00:19:44.000;4.20;0.36;140
00:19:46.000;4.20;0.36;140
00:19:48.000;4.20;0.36;140
00:19:50.000;4.20;0.36;140
00:19:52.000;4.20;0.36;141
00:19:54.000;4.20;0.36;141
00:19:56.000;4.20;0.36;141
00:19:58.000;4.20;0.36;141
00:20:00.000;4.20;0.36;141
00:20:02.000;4.20;0.36;142
00:20:04.000;4.20;0.36;142
00:20:06.000;4.20;0.36;142
00:20:08.000;4.20;0.36;142
00:20:10.000;4.20;0.36;142
00:20:12.000;4.20;0.36;143
00:20:14.000;4.20;0.36;143
00:20:16.000;4.20;0.36;143
00:20:18.000;4.20;0.36;143
00:20:20.000;4.20;0.36;143
00:20:22.000;4.20;0.36;144
00:20:24.000;4.20;0.36;144
00:20:26.000;4.20;0.36;144
00:20:28.000;4.20;0.36;144
00:20:30.000;4.20;0.36;144
00:20:32.000;4.20;0.36;145
00:20:34.000;4.20;0.36;145
00:20:36.000;4.20;0.36;145
00:20:38.000;4.20;0.36;145
00:20:40.000;4.20;0.36;145
00:20:42.000;4.20;0.36;146
00:20:44.000;4.20;0.36;146
00:20:46.000;4.20;0.36;146
00:20:48.000;4.20;0.36;146
00:20:50.000;4.20;0.36;147
00:20:52.000;4.20;0.36;147
00:20:54.000;4.20;0.36;147
00:20:56.000;4.20;0.36;147
00:20:58.000;4.20;0.36;147
00:21:00.000;4.20;0.36;148
00:21:02.000;4.20;0.36;148
00:21:04.000;4.20;0.36;148
00:21:06.000;4.20;0.36;148
00:21:08.000;4.20;0.36;148
00:21:10.000;4.20;0.36;148
00:21:12.000;4.20;0.36;149
00:21:14.000;4.20;0.36;149
00:21:16.000;4.20;0.36;149
00:21:18.000;4.20;0.36;149
00:21:20.000;4.20;0.36;150
00:21:22.000;4.20;0.36;150
00:21:24.000;4.20;0.36;150
00:21:26.000;4.20;0.36;150
00:21:28.000;4.20;0.36;150
00:21:30.000;4.20;0.36;150
00:21:32.000;4.20;0.36;151
00:21:34.000;4.20;0.35;151
00:21:36.000;4.20;0.36;151
00:21:38.000;4.20;0.36;151
00:21:40.000;4.21;0.35;152
00:21:42.000;4.20;0.35;152
00:21:44.000;4.20;0.35;152
00:21:46.000;4.20;0.35;152
00:21:48.000;4.20;0.35;152
00:21:50.000;4.20;0.35;153
00:21:52.000;4.20;0.35;153
00:21:54.000;4.20;0.35;153
00:21:56.000;4.20;0.35;153
00:21:58.000;4.20;0.35;153
00:22:00.000;4.20;0.35;154
00:22:02.000;4.20;0.35;154
00:22:04.000;4.20;0.35;154
00:22:06.000;4.20;0.35;154
00:22:08.000;4.20;0.35;154
00:22:10.000;4.20;0.35;155
00:22:12.000;4.20;0.35;155
00:22:14.000;4.20;0.35;155
00:22:16.000;4.20;0.35;155
00:22:18.000;4.20;0.35;155
00:22:20.000;4.20;0.35;155
00:22:22.000;4.20;0.34;156
00:22:24.000;4.20;0.35;156
00:22:26.000;4.20;0.35;156
00:22:28.000;4.20;0.35;156
00:22:30.000;4.20;0.35;156
00:22:32.000;4.20;0.35;157
00:22:34.000;4.20;0.35;157
00:22:36.000;4.20;0.35;157
00:22:38.000;4.20;0.35;157
00:22:40.000;4.20;0.34;157
00:22:42.000;4.21;0.35;158
00:22:44.000;4.20;0.35;158
00:22:46.000;4.20;0.35;158
00:22:48.000;4.20;0.35;158
00:22:50.000;4.20;0.35;158
00:22:52.000;4.20;0.34;159
00:22:54.000;4.20;0.34;159
00:22:56.000;4.20;0.35;159
00:22:58.000;4.20;0.34;159
00:23:00.000;4.20;0.35;159
00:23:02.000;4.20;0.34;160
00:23:04.000;4.20;0.34;160
00:23:06.000;4.20;0.34;160
00:23:08.000;4.20;0.34;160
00:23:10.000;4.20;0.34;160
00:23:12.000;4.20;0.34;161
00:23:14.000;4.20;0.35;161
00:23:16.000;4.20;0.34;161
00:23:18.000;4.20;0.34;161
00:23:20.000;4.21;0.35;161
00:23:22.000;4.20;0.34;162
00:23:24.000;4.20;0.34;162
00:23:26.000;4.20;0.34;162
00:23:28.000;4.20;0.34;162
00:23:30.000;4.20;0.34;162
00:23:32.000;4.20;0.34;163
00:23:34.000;4.20;0.34;163
00:23:36.000;4.20;0.34;163
00:23:38.000;4.20;0.34;163
00:23:40.000;4.20;0.34;163
00:23:42.000;4.20;0.34;164
00:23:44.000;4.20;0.34;164
00:23:46.000;4.20;0.34;164
00:23:48.000;4.20;0.34;164
00:23:50.000;4.20;0.34;164
00:23:52.000;4.20;0.34;165
00:23:54.000;4.20;0.34;165
00:23:56.000;4.20;0.34;165
00:23:58.000;4.20;0.34;165
00:24:00.000;4.20;0.35;165
00:24:02.000;4.20;0.34;165
00:24:04.000;4.20;0.34;166
00:24:06.000;4.20;0.34;166
00:24:08.000;4.20;0.34;166
00:24:10.000;4.20;0.34;166
00:24:12.000;4.20;0.34;166
00:24:14.000;4.20;0.34;167
00:24:16.000;4.20;0.34;167
00:24:18.000;4.20;0.34;167
00:24:20.000;4.20;0.34;167
00:24:22.000;4.20;0.34;167
00:24:24.000;4.20;0.34;168
00:24:26.000;4.20;0.34;168
00:24:28.000;4.20;0.34;168
00:24:30.000;4.20;0.34;168
00:24:32.000;4.20;0.34;168
00:24:34.000;4.20;0.34;169
00:24:36.000;4.20;0.33;169
00:24:38.000;4.20;0.34;169
00:24:40.000;4.20;0.33;169
00:24:42.000;4.20;0.34;169
00:24:44.000;4.20;0.34;170
00:24:46.000;4.20;0.33;170
00:24:48.000;4.20;0.33;170
00:24:50.000;4.20;0.33;170
00:24:52.000;4.20;0.34;170
00:24:54.000;4.20;0.33;170
00:24:56.000;4.20;0.33;171
00:24:58.000;4.20;0.33;171
00:25:00.000;4.20;0.33;171
00:25:02.000;4.20;0.33;171
00:25:04.000;4.20;0.33;171
00:25:06.000;4.20;0.34;172
00:25:08.000;4.20;0.33;172
00:25:10.000;4.20;0.34;172
00:25:12.000;4.20;0.33;172
00:25:14.000;4.20;0.33;172
00:25:16.000;4.20;0.33;173
00:25:18.000;4.20;0.33;173
00:25:20.000;4.20;0.33;173
00:25:22.000;4.20;0.33;173
00:25:24.000;4.20;0.33;173
